target_name,run,gen,X_L,X_F,X_B,X_C,f_L,f_F,f_B,f_C,mean_fitness,mean_p_F_given_L,mean_p_L_given_F,mean_p_L_given_B,CM
1B,0,43,0.45,0.22,0.24,0.09,0.00353,0.005606,0.485208,0.505656,0.011998044636049848,0.941353792010342,0.023386759304315795,0.0012280467811134738,0.009136
1B,0,44,0.45,0.22,0.24,0.09,0.003322,0.005384,0.485422,0.505872,0.012001622880966772,0.9377295024122444,0.022607630271541678,0.000990022409694773,0.008706
1B,0,45,0.45,0.22,0.24,0.09,0.003442,0.005348,0.48535,0.50586,0.012000746941721076,0.937542181667832,0.02378314686417737,0.001170862737823234,0.008790000000000001
1B,0,46,0.45,0.22,0.24,0.09,0.003586,0.006262,0.484932,0.50522,0.011992377650841324,0.9354864784155649,0.02404001172511979,0.0015161006039306364,0.009848
1B,0,47,0.45,0.22,0.24,0.09,0.003438,0.0057,0.485244,0.505618,0.011999179334992387,0.9354510773857844,0.023351105555685613,0.0011501854494508318,0.009138
1B,0,48,0.45,0.22,0.24,0.09,0.003288,0.005246,0.485488,0.505978,0.012003652849163372,0.939270178566206,0.021291262706412916,0.0009555098250173259,0.008534
1B,0,49,0.45,0.22,0.24,0.09,0.00346,0.005292,0.485386,0.505862,0.011999135096100308,0.9437837317913627,0.01946159779033847,0.0012291337224122354,0.008752
1B,0,50,0.45,0.22,0.24,0.09,0.003332,0.005362,0.485428,0.505878,0.012003713938881218,0.9423736287500413,0.020546712962109737,0.0010654318021028975,0.008694
1B,0,51,0.45,0.22,0.24,0.09,0.0034,0.005702,0.485264,0.505634,0.0119991649724161,0.9420618284173246,0.019923150422949655,0.0010421321222271517,0.009101999999999999
1B,0,52,0.45,0.22,0.24,0.09,0.00349,0.005362,0.485332,0.505816,0.012000171275538965,0.94697722418961,0.01955734503192363,0.0013104462162815689,0.008851999999999999
1B,0,53,0.45,0.22,0.24,0.09,0.003214,0.005016,0.485612,0.506158,0.0120073496549424,0.947871551967343,0.019476768434933442,0.0009805227008405678,0.00823
1B,0,54,0.45,0.22,0.24,0.09,0.003432,0.004808,0.485584,0.506176,0.012003352042310447,0.9472700486624235,0.021764139857222822,0.0010405021708646117,0.00824
1B,0,55,0.45,0.22,0.24,0.09,0.00317,0.00467,0.485752,0.506408,0.012010013959883334,0.9507034918560461,0.022979108616149352,0.0010031063282835721,0.00784
1B,0,56,0.45,0.22,0.24,0.09,0.003486,0.005502,0.485264,0.505748,0.011998291781955554,0.9510387460049826,0.022885291076796155,0.0014257563997273181,0.008988
1B,0,57,0.45,0.22,0.24,0.09,0.003418,0.005356,0.48539,0.505836,0.011999904852533032,0.9517816689150722,0.024326449863682122,0.001208912853253417,0.008774
1B,0,58,0.45,0.22,0.24,0.09,0.00346,0.005682,0.485216,0.505642,0.011998698391447496,0.9499917816233581,0.02561284777552195,0.0013834655972727095,0.009142
1B,0,59,0.45,0.22,0.24,0.09,0.003252,0.005046,0.485586,0.506116,0.012005789406171091,0.9517561350323949,0.025143480944510868,0.0009844749952531869,0.008298
1B,0,60,0.45,0.22,0.24,0.09,0.003432,0.005032,0.48549,0.506046,0.01200257085588174,0.949808829979668,0.02563695369702905,0.0011462761916518995,0.008464
1B,0,61,0.45,0.22,0.24,0.09,0.003386,0.004994,0.485492,0.506128,0.0120041779096242,0.9479357032444509,0.025531809247908693,0.001344197008121645,0.00838
1B,0,62,0.45,0.22,0.24,0.09,0.003368,0.00586,0.48521,0.505562,0.011998196115396407,0.9482827568873216,0.025285972104762272,0.001329931006050328,0.009228
1B,0,63,0.45,0.22,0.24,0.09,0.003272,0.005602,0.48533,0.505796,0.012002930380638523,0.9507262694659867,0.027484726624685776,0.0011325116786439935,0.008874
1B,0,64,0.45,0.22,0.24,0.09,0.00339,0.005086,0.48549,0.506034,0.012002167090895298,0.9523404438739402,0.02666616000395883,0.0012880565271610736,0.008476000000000001
1B,0,65,0.45,0.22,0.24,0.09,0.003344,0.004632,0.485686,0.506338,0.012006215601276064,0.9550949885367406,0.026851578210181904,0.0013443948033226196,0.007976
1B,0,66,0.45,0.22,0.24,0.09,0.003614,0.006036,0.485022,0.505328,0.011993336196805869,0.9527956691562818,0.028472156228283554,0.001367177574512851,0.009649999999999999
1B,0,67,0.45,0.22,0.24,0.09,0.00339,0.005164,0.485442,0.506004,0.012001365213292075,0.9539455397167564,0.027472248302063643,0.0011779005560002948,0.008553999999999999
1B,0,68,0.45,0.22,0.24,0.09,0.003392,0.005316,0.485384,0.505908,0.012002469088728108,0.9561041673401212,0.0261122606037738,0.00137529049946761,0.008708
1B,0,69,0.45,0.22,0.24,0.09,0.003458,0.005256,0.485384,0.505902,0.01199924395260608,0.9569976037059302,0.027029054126593798,0.0013116764746289604,0.008714
1B,0,70,0.45,0.22,0.24,0.09,0.003306,0.0055,0.485338,0.505856,0.012002647875816515,0.9579930959074484,0.03005689033121951,0.0014553109357810711,0.008806
1B,0,71,0.45,0.22,0.24,0.09,0.003514,0.006016,0.485076,0.505394,0.011997307826993344,0.9583089487210389,0.031980314967207504,0.0013267238096051942,0.00953
1B,0,72,0.45,0.22,0.24,0.09,0.003482,0.006112,0.48502,0.505386,0.011994298769963472,0.9623358965585501,0.03168938552926067,0.0015648170230462318,0.009594
1B,0,73,0.45,0.22,0.24,0.09,0.003302,0.00542,0.485398,0.50588,0.012001673284880585,0.9623445750616382,0.03233923448625815,0.0011342627019207037,0.008722
1B,0,74,0.45,0.22,0.24,0.09,0.003506,0.005562,0.48523,0.505702,0.01199993707022572,0.9605459882156638,0.030799186438894368,0.0014860824300123021,0.009068
1B,0,75,0.45,0.22,0.24,0.09,0.003234,0.005134,0.485504,0.506128,0.01200652743304294,0.9609138287944395,0.03162985697478299,0.0013112617545712457,0.008368
1B,0,76,0.45,0.22,0.24,0.09,0.003448,0.005098,0.485436,0.506018,0.012002343692644463,0.9613453981282157,0.03004662187036621,0.0013972646170410331,0.008546
1B,0,77,0.45,0.22,0.24,0.09,0.003284,0.005506,0.48539,0.50582,0.012000826817070332,0.9592654588145977,0.029627072064042487,0.0012118008517636237,0.00879
1B,0,78,0.45,0.22,0.24,0.09,0.003284,0.005182,0.48548,0.506054,0.01200384547484008,0.9604167967806505,0.029475662047612608,0.0012127880222416682,0.008466
1B,0,79,0.45,0.22,0.24,0.09,0.003236,0.004988,0.485612,0.506164,0.012004300755367271,0.9596200777223475,0.02882201563399635,0.0011025299970358227,0.008224
1B,0,80,0.45,0.22,0.24,0.09,0.003674,0.005486,0.485168,0.505672,0.011996553390255382,0.956752904699498,0.029085778193705898,0.001800299628445503,0.009160000000000001
1B,0,81,0.45,0.22,0.24,0.09,0.003636,0.005746,0.485114,0.505504,0.0119958369587813,0.958049235785458,0.03144115546686417,0.0015030594123434447,0.009382
1B,0,82,0.45,0.22,0.24,0.09,0.003512,0.005796,0.485146,0.505546,0.011996457831957337,0.9601300006259984,0.03155949281687926,0.0014171366895749519,0.009308
1B,0,83,0.45,0.22,0.24,0.09,0.003508,0.005706,0.485176,0.50561,0.011997346612476836,0.9616004568734884,0.02921365090633267,0.0014279314942978163,0.009214
1B,0,84,0.45,0.22,0.24,0.09,0.003354,0.00463,0.485684,0.506332,0.012005467013618237,0.9607252853699524,0.030317817766524955,0.0012042691916647977,0.007984
1B,0,85,0.45,0.22,0.24,0.09,0.003558,0.004782,0.485508,0.506152,0.012002596209705344,0.9633973746973873,0.028536599901330954,0.0013004152172520311,0.00834
1B,0,86,0.45,0.22,0.24,0.09,0.003692,0.005632,0.485132,0.505544,0.011993453890387747,0.9677305767539001,0.027812241429690503,0.0015266705556156758,0.009323999999999999
1B,0,87,0.45,0.22,0.24,0.09,0.003214,0.004466,0.485802,0.506518,0.01201011607893759,0.9711792342041876,0.0276321281745184,0.0012808801005909172,0.00768
1B,0,88,0.45,0.22,0.24,0.09,0.003306,0.00502,0.48554,0.506134,0.01200502254519668,0.9722064052350986,0.030761291761835296,0.0013518316177524576,0.008326
1B,0,89,0.45,0.22,0.24,0.09,0.003274,0.00487,0.485604,0.506252,0.012007102081683672,0.9718136295486401,0.03131180329441784,0.001174410203386028,0.008144
1B,0,90,0.45,0.22,0.24,0.09,0.00334,0.00487,0.48556,0.50623,0.012005080637785288,0.9698085890702571,0.03227939295631998,0.0013210419929309248,0.00821
1B,0,91,0.45,0.22,0.24,0.09,0.003626,0.00599,0.485034,0.50535,0.011992294351968883,0.9703970935357904,0.03225818422303437,0.0014630121377259648,0.009616
