target_name,run,gen,X_L,X_F,X_B,X_C,f_L,f_F,f_B,f_C,mean_fitness,mean_p_F_given_L,mean_p_L_given_F,mean_p_L_given_B,CM
2A,0,50,0.38,0.15,0.11,0.36,0.10562,0.627856,0.177248,0.089276,0.01064624142959515,0.9924689628738246,0.0020844171403339618,0.6206931675489082,0.733476
2A,0,51,0.38,0.15,0.11,0.36,0.105982,0.62444,0.178858,0.09072,0.010630231744505695,0.9923223371080484,0.0020966101455070652,0.6223689780195677,0.730422
2A,0,52,0.38,0.15,0.11,0.36,0.105858,0.62354,0.17935,0.091252,0.010623331329857969,0.9924619649022314,0.0023231778962419965,0.6171388045549864,0.729398
2A,0,53,0.38,0.15,0.11,0.36,0.105054,0.6218,0.180768,0.092378,0.01062484502393577,0.9922419674233853,0.002049719526162083,0.6140900172187678,0.726854
2A,0,54,0.38,0.15,0.11,0.36,0.10519,0.622154,0.180582,0.092074,0.010627236415321897,0.9920782795013998,0.0018505711292234718,0.6148370658645012,0.727344
2A,0,55,0.38,0.15,0.11,0.36,0.105422,0.622214,0.180438,0.091926,0.010624904191274542,0.9921884703500041,0.0019606690747904208,0.6185988727751964,0.7276360000000001
2A,0,56,0.38,0.15,0.11,0.36,0.106724,0.624638,0.178298,0.09034,0.010622022911041978,0.9926667924513973,0.0018608570733450222,0.6270255836727667,0.7313620000000001
2A,0,57,0.38,0.15,0.11,0.36,0.10654,0.62251,0.179468,0.091482,0.010614122502512079,0.9936303756174901,0.002237254983931804,0.6187801541163606,0.72905
2A,0,58,0.38,0.15,0.11,0.36,0.104462,0.63175,0.175956,0.087832,0.010674987211253279,0.9939768764133377,0.0017821549742230935,0.6159748824660812,0.7362120000000001
2A,0,59,0.38,0.15,0.11,0.36,0.107,0.629196,0.175688,0.088116,0.010639712652046,0.9940600737162445,0.0016618704417312245,0.6271575667074172,0.736196
2A,0,60,0.38,0.15,0.11,0.36,0.106906,0.62834,0.176184,0.08857,0.010634503162119398,0.9939878858800255,0.0017164551748945506,0.6298484139203263,0.7352460000000001
2A,0,61,0.38,0.15,0.11,0.36,0.105758,0.619932,0.181206,0.093104,0.010609252769190534,0.9939678005210341,0.0018825202049083257,0.6143522298042267,0.7256900000000001
2A,0,62,0.38,0.15,0.11,0.36,0.102738,0.621026,0.182594,0.093642,0.010645377057569629,0.9947894463793385,0.0021662952237326677,0.5942471526432646,0.723764
2A,0,63,0.38,0.15,0.11,0.36,0.104426,0.62956,0.177156,0.088858,0.010667783433563484,0.9942161649892615,0.002208977150722878,0.6129870219412425,0.733986
2A,0,64,0.38,0.15,0.11,0.36,0.10537,0.623386,0.179714,0.09153,0.010628995235426627,0.994343979093989,0.0018125114912951623,0.6138798856970873,0.728756
2A,0,65,0.38,0.15,0.11,0.36,0.105094,0.621462,0.180962,0.092482,0.01062364737647372,0.9945381834764432,0.0021786665613927445,0.6136935717371604,0.726556
2A,0,66,0.38,0.15,0.11,0.36,0.106202,0.62208,0.179936,0.091782,0.010616918024675173,0.9951660937414079,0.0021448040162340954,0.6234598561686753,0.728282
2A,0,67,0.38,0.15,0.11,0.36,0.105524,0.62387,0.179426,0.09118,0.010630696093874521,0.9955153102680557,0.0021095312708096143,0.6182180101072601,0.7293940000000001
2A,0,68,0.38,0.15,0.11,0.36,0.106376,0.62858,0.176408,0.088636,0.010641283473332062,0.9952481953214352,0.001982078963484976,0.6251521766123017,0.734956
2A,0,69,0.38,0.15,0.11,0.36,0.106446,0.62906,0.176132,0.088362,0.010643047874587978,0.9949099136641567,0.0018359974399623032,0.6279393112866817,0.735506
2A,0,70,0.38,0.15,0.11,0.36,0.10672,0.629402,0.175776,0.088102,0.010644763218719632,0.9943291471666018,0.0020393909696417847,0.6298572724428566,0.736122
2A,0,71,0.38,0.15,0.11,0.36,0.104966,0.624956,0.179162,0.090916,0.010639218190276701,0.9946494402452455,0.0017659028677616145,0.6081120395041748,0.729922
2A,0,72,0.38,0.15,0.11,0.36,0.103082,0.628842,0.178446,0.08963,0.010678672291309506,0.9946113561854074,0.0019453049483375317,0.6054518033431994,0.731924
2A,0,73,0.38,0.15,0.11,0.36,0.105084,0.625718,0.1787,0.090498,0.01064156098170874,0.9943165543110715,0.0019329938930245224,0.6153935133720287,0.730802
2A,0,74,0.38,0.15,0.11,0.36,0.105998,0.62634,0.177834,0.089828,0.010635607284708502,0.9938490831637539,0.0017665136672406925,0.6264746671368032,0.732338
2A,0,75,0.38,0.15,0.11,0.36,0.107926,0.621914,0.178924,0.091236,0.010596786032384403,0.9936133328544444,0.0015165034303719445,0.63736779601813,0.7298399999999999
2A,0,76,0.38,0.15,0.11,0.36,0.106762,0.622586,0.17931,0.091342,0.010612952523488829,0.9936644406827467,0.002055777309839917,0.6276661635172487,0.729348
2A,0,77,0.38,0.15,0.11,0.36,0.105082,0.620744,0.181342,0.092832,0.01062098256813567,0.9941178038997855,0.0019086206430786441,0.6144081133180519,0.725826
2A,0,78,0.38,0.15,0.11,0.36,0.106352,0.62557,0.17805,0.090028,0.0106290044828394,0.995116416435187,0.0019304266646258215,0.629560203376921,0.731922
2A,0,79,0.38,0.15,0.11,0.36,0.106576,0.625462,0.177858,0.090104,0.010625292321110593,0.9953698500926769,0.0019112561144548194,0.6292810322539151,0.732038
2A,0,80,0.38,0.15,0.11,0.36,0.107342,0.62015,0.180204,0.092304,0.010596168918353256,0.9944684759230066,0.001756139362132742,0.6290594551377022,0.727492
2A,0,81,0.38,0.15,0.11,0.36,0.105314,0.625762,0.178638,0.090286,0.010641644679302596,0.9946805360326314,0.0018738386236267623,0.621487618075643,0.7310760000000001
2A,0,82,0.38,0.15,0.11,0.36,0.10525,0.622404,0.180376,0.09197,0.01062665921220141,0.9955866856277226,0.001646202646397053,0.6173393949512954,0.7276539999999999
2A,0,83,0.38,0.15,0.11,0.36,0.10366,0.622078,0.181548,0.092714,0.010642031262294877,0.9956721596412931,0.0018172588908230171,0.6068093590653976,0.725738
2A,0,84,0.38,0.15,0.11,0.36,0.105572,0.622428,0.180134,0.091866,0.010622671388745007,0.9959946825477368,0.002015769417975403,0.6178975576956501,0.728
2A,0,85,0.38,0.15,0.11,0.36,0.105934,0.61833,0.18203,0.093706,0.010601776586620357,0.9955646587688869,0.0015254956841419965,0.6223985964398311,0.724264
2A,0,86,0.38,0.15,0.11,0.36,0.108038,0.624458,0.17753,0.089974,0.010607651002231428,0.9954274422055303,0.0017927101960364417,0.6451758771444472,0.7324959999999999
2A,0,87,0.38,0.15,0.11,0.36,0.10733,0.623474,0.178564,0.090632,0.010612782830147082,0.995616835992541,0.0021721919639333216,0.6417551022000482,0.730804
2A,0,88,0.38,0.15,0.11,0.36,0.105826,0.625006,0.178718,0.09045,0.010632847045083446,0.994909826183793,0.0018984072072777164,0.6292847773374995,0.7308319999999999
2A,0,89,0.38,0.15,0.11,0.36,0.106862,0.622618,0.179308,0.091212,0.010612392252796529,0.9946872052684161,0.0019050972646120733,0.6308943696623792,0.72948
2A,0,90,0.38,0.15,0.11,0.36,0.10746,0.62197,0.179168,0.091402,0.010602542102455243,0.9942848820236707,0.0018323914645473342,0.633395875079583,0.72943
2A,0,91,0.38,0.15,0.11,0.36,0.106416,0.622688,0.179542,0.091354,0.010617212993435607,0.9945522136142244,0.0019779173737642557,0.6281955590775602,0.729104
2A,0,92,0.38,0.15,0.11,0.36,0.104192,0.621588,0.181444,0.092776,0.01063289222764789,0.9948899598706582,0.002108395166891632,0.6114719846985686,0.7257800000000001
2A,0,93,0.38,0.15,0.11,0.36,0.104094,0.618788,0.183002,0.094116,0.010621260764609206,0.9941786712780823,0.001901271191276716,0.6041923125936255,0.722882
2A,0,94,0.38,0.15,0.11,0.36,0.104294,0.625292,0.17953,0.090884,0.010651473789660365,0.9949247109009177,0.0024967412090177205,0.6161420924953509,0.729586
