target_name,run,generation,X_L,X_F,X_B,X_C,mean_risk,mean_fitness,p_F_given_L,p_L_given_F,p_L_given_B,f_L,f_F,f_B,f_C,CM,expected_p_F_given_L,expected_p_L_given_F,expected_p_L_given_B,expected_f_L,expected_f_F,expected_f_B,expected_f_C,expected_CM
Figure 2B,0,48,0.25,0.19,0.03,0.53,0.19838996,-0.19838996,0.8824658318936012,0.01813065148880813,0.4850312556221625,0.09349799999999989,0.6223400000000004,0.18766999999999961,0.09649199999999979,0.7158380000000003,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,49,0.25,0.19,0.03,0.53,0.19847632,-0.19847632,0.8861571568831689,0.017544915778941628,0.48465234870073515,0.09320399999999966,0.6210339999999993,0.18854999999999975,0.09721199999999977,0.7142379999999989,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,50,0.25,0.19,0.03,0.53,0.19800864,-0.19800864,0.8908765866311902,0.017056188836575163,0.4881148384081665,0.09308799999999995,0.6271580000000007,0.185386,0.09436799999999983,0.7202460000000006,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,51,0.25,0.19,0.03,0.53,0.19789788000000003,-0.19789788000000003,0.893865035810111,0.016580848840784514,0.49072680883159786,0.0923139999999997,0.627680000000001,0.18568599999999974,0.09431999999999982,0.7199940000000007,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,52,0.25,0.19,0.03,0.53,0.19763435999999998,-0.19763435999999998,0.8980224636976168,0.015486804852837769,0.49439259806630775,0.09265399999999974,0.631228,0.18360999999999955,0.09250799999999984,0.7238819999999997,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,53,0.25,0.19,0.03,0.53,0.19899692,-0.19899692,0.9011318517570048,0.015512216251754382,0.4844723787767162,0.09323599999999965,0.6154500000000008,0.1912879999999998,0.10002599999999987,0.7086860000000005,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,54,0.25,0.19,0.03,0.53,0.19849816,-0.19849816,0.9000915834568805,0.015699102006226578,0.48684445126545767,0.09289599999999962,0.6207940000000002,0.1888419999999997,0.09746799999999967,0.7136899999999998,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,55,0.25,0.19,0.03,0.53,0.19893136,-0.19893136,0.9030681677599878,0.01581911628406937,0.48869608033175255,0.09292199999999974,0.6160719999999997,0.19117199999999981,0.09983399999999987,0.7089939999999995,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,56,0.25,0.19,0.03,0.53,0.19875744,-0.19875744,0.9052390260482102,0.01566125146540558,0.49260338419928823,0.09303999999999979,0.6183040000000003,0.1899359999999997,0.09871999999999975,0.7113440000000001,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,57,0.25,0.19,0.03,0.53,0.19836188000000002,-0.19836188000000002,0.9035523193777231,0.01575722341736211,0.49290593637347835,0.09228599999999966,0.6220060000000006,0.1886319999999997,0.09707599999999991,0.7142920000000003,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,58,0.25,0.19,0.03,0.53,0.1985452,-0.1985452,0.9053124404447074,0.015602157104079374,0.4947151473554784,0.0927639999999998,0.6204820000000003,0.18903399999999976,0.09771999999999977,0.7132460000000002,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,59,0.25,0.19,0.03,0.53,0.19849148,-0.19849148,0.9093370420839761,0.01560988727021627,0.498259217046869,0.09347199999999967,0.6207539999999998,0.1885599999999997,0.0972139999999998,0.7142259999999995,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,60,0.25,0.19,0.03,0.53,0.19841508,-0.19841508,0.9122085238608358,0.014969239033371778,0.5044950601329374,0.09324999999999974,0.6220880000000004,0.18792999999999965,0.09673199999999971,0.7153380000000001,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,61,0.25,0.19,0.03,0.53,0.1979614,-0.1979614,0.912727613851952,0.014943071471685916,0.5025637759729533,0.09294799999999966,0.6273240000000004,0.18544599999999983,0.09428199999999981,0.7202720000000001,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,62,0.25,0.19,0.03,0.53,0.1981346,-0.1981346,0.9154694842043419,0.014373095300399524,0.5043131294203158,0.09377799999999963,0.6257340000000008,0.1857159999999995,0.09477199999999988,0.7195120000000004,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,63,0.25,0.19,0.03,0.53,0.19856344,-0.19856344,0.9188059866699577,0.014469679322718839,0.5014958789455547,0.09274599999999973,0.6200020000000006,0.1893339999999996,0.09791799999999976,0.7127480000000004,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,64,0.25,0.19,0.03,0.53,0.19862572,-0.19862572,0.9204967669594832,0.014560313151247674,0.5018906114322159,0.09251399999999968,0.6192540000000002,0.18984800000000004,0.09838399999999979,0.7117679999999998,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,65,0.25,0.19,0.03,0.53,0.19905431999999998,-0.19905431999999998,0.9209863970924027,0.014882769804567498,0.49906430838188676,0.09255999999999981,0.6143820000000011,0.19227799999999984,0.1007799999999998,0.7069420000000008,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,66,0.25,0.19,0.03,0.53,0.19953244,-0.19953244,0.9230308612853227,0.015169940458568692,0.49575130509366394,0.09249399999999987,0.609336,0.19479000000000005,0.10337999999999968,0.7018299999999998,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,67,0.25,0.19,0.03,0.53,0.19899172,-0.19899172,0.9224758149197505,0.015300242803429736,0.503923544441489,0.0927979999999997,0.6156260000000007,0.1914239999999997,0.10015199999999973,0.7084240000000004,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,68,0.25,0.19,0.03,0.53,0.19845444,-0.19845444,0.9235303342459301,0.015221218756785308,0.5061104715363828,0.09225799999999963,0.6212980000000006,0.18894399999999975,0.09749999999999981,0.7135560000000002,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,69,0.25,0.19,0.03,0.53,0.19892376,-0.19892376,0.9239303127289178,0.01502564375554843,0.5049597324964373,0.0926359999999998,0.6164240000000001,0.19110799999999978,0.09983199999999981,0.7090599999999999,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,70,0.25,0.19,0.03,0.53,0.19928756,-0.19928756,0.9261136216417849,0.014987682699159942,0.5029648938335148,0.09233199999999972,0.6115719999999996,0.1938499999999997,0.10224599999999967,0.7039039999999993,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,71,0.25,0.19,0.03,0.53,0.19891528,-0.19891528,0.9279125231002869,0.01504807948411487,0.5090795125372333,0.09278199999999984,0.616264000000001,0.1911519999999996,0.09980199999999957,0.7090460000000008,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,72,0.25,0.19,0.03,0.53,0.19856608,-0.19856608,0.9292327566469558,0.014885691223410935,0.5109865093029147,0.0925919999999998,0.6200740000000005,0.1893659999999997,0.0979679999999998,0.7126660000000002,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,73,0.25,0.19,0.03,0.53,0.19866476,-0.19866476,0.9301409696671172,0.014639902823868869,0.5133301624664064,0.09384599999999965,0.6191039999999999,0.18912599999999993,0.09792399999999975,0.7129499999999995,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,74,0.25,0.19,0.03,0.53,0.19876452,-0.19876452,0.9308686673057223,0.014350816992391739,0.5138694033454103,0.09416599999999963,0.6182500000000001,0.18932799999999966,0.09825599999999975,0.7124159999999997,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,75,0.25,0.19,0.03,0.53,0.19837639999999998,-0.19837639999999998,0.9340003173782981,0.013839312396005455,0.5135044374545342,0.09426999999999962,0.6229999999999997,0.18681599999999982,0.09591399999999983,0.7172699999999993,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,76,0.25,0.19,0.03,0.53,0.1986084,-0.1986084,0.9357121945228986,0.013927124887803793,0.5056980708154349,0.09309399999999976,0.6195419999999993,0.18936199999999961,0.0980019999999997,0.712635999999999,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
