target_name,run,generation,X_L,X_F,X_B,X_C,mean_risk,mean_fitness,p_F_given_L,p_L_given_F,p_L_given_B,f_L,f_F,f_B,f_C,CM,expected_p_F_given_L,expected_p_L_given_F,expected_p_L_given_B,expected_f_L,expected_f_F,expected_f_B,expected_f_C,expected_CM
Figure 2A,1,10,0.38,0.15,0.11,0.36,0.1785866,-0.1785866,0.6439426748316168,0.06747655991730499,0.49372368643027026,0.1106820000000001,0.7411739999999999,0.11192200000000013,0.036221999999999956,0.851856,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,11,0.38,0.15,0.11,0.36,0.1793487,-0.1793487,0.6634982981299574,0.05631952301702976,0.5090881245077038,0.10563399999999996,0.7142380000000003,0.13109600000000052,0.04903200000000007,0.8198720000000003,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,12,0.38,0.15,0.11,0.36,0.18115972,-0.18115972,0.6878133361948593,0.04763018894813089,0.5239034738259598,0.10358999999999978,0.6828979999999992,0.15001400000000015,0.06349799999999997,0.786487999999999,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,13,0.38,0.15,0.11,0.36,0.18209853999999998,-0.18209853999999998,0.7124837863153605,0.04195031982156485,0.5379214088901219,0.10142399999999989,0.6648139999999991,0.1612760000000001,0.07248600000000006,0.766237999999999,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,14,0.38,0.15,0.11,0.36,0.18245342,-0.18245342,0.7363554987858617,0.035323718526997366,0.5608056055987355,0.10196999999999995,0.6617380000000003,0.16248400000000016,0.07380799999999992,0.7637080000000003,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,15,0.38,0.15,0.11,0.36,0.18363136,-0.18363136,0.7620225649096602,0.030694426931108007,0.5766952966183921,0.10326599999999984,0.6493759999999994,0.16826000000000033,0.07909799999999986,0.7526419999999993,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,16,0.38,0.15,0.11,0.36,0.18375208,-0.18375208,0.7855978367025257,0.02625929609764395,0.5952333849057517,0.1033559999999998,0.6484240000000003,0.168584,0.07963599999999986,0.7517800000000001,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,17,0.38,0.15,0.11,0.36,0.18474332,-0.18474332,0.8057446057039704,0.023334642613279468,0.6116600739958071,0.10637599999999992,0.6429700000000004,0.16944200000000006,0.0812120000000001,0.7493460000000003,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,18,0.38,0.15,0.11,0.36,0.18517055999999998,-0.18517055999999998,0.8248954937572731,0.02086805826465845,0.6159142417184034,0.10575999999999984,0.6362840000000001,0.17330000000000012,0.08465599999999979,0.7420439999999999,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,19,0.38,0.15,0.11,0.36,0.18509662,-0.18509662,0.8433761862758505,0.019098767255996588,0.622226034210518,0.10553799999999963,0.6369340000000008,0.1730319999999999,0.0844959999999999,0.7424720000000005,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,20,0.38,0.15,0.11,0.36,0.18510698,-0.18510698,0.8556925889366382,0.017776219357768585,0.626719748129972,0.10615599999999978,0.6381340000000004,0.17203200000000007,0.083678,0.7442900000000002,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,21,0.38,0.15,0.11,0.36,0.18575988000000002,-0.18575988000000002,0.8683923801656604,0.015994486670970535,0.6366357563119702,0.10851199999999989,0.6357160000000003,0.17164000000000013,0.08413199999999987,0.7442280000000001,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,22,0.38,0.15,0.11,0.36,0.18493758,-0.18493758,0.8802251188790808,0.014801393601129406,0.6402145323352084,0.10711399999999997,0.6430200000000008,0.16868199999999983,0.08118399999999985,0.7501340000000007,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,23,0.38,0.15,0.11,0.36,0.18546378,-0.18546378,0.892226448104656,0.013454935176175478,0.6440892136394455,0.10959799999999971,0.642658000000002,0.16707999999999987,0.08066399999999989,0.7522560000000017,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,24,0.38,0.15,0.11,0.36,0.18604344,-0.18604344,0.9029093234615658,0.012803316234786274,0.6434781672828791,0.10942199999999976,0.6349000000000009,0.17126399999999986,0.08441399999999982,0.7443220000000007,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,25,0.38,0.15,0.11,0.36,0.18508628,-0.18508628,0.914830054525611,0.012031533924552498,0.6445841238865392,0.10762599999999962,0.6430940000000002,0.16806599999999977,0.08121399999999994,0.7507199999999998,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,26,0.38,0.15,0.11,0.36,0.18559856,-0.18559856,0.9214389021152816,0.010653017556020598,0.6489644763936522,0.10913199999999965,0.6398480000000005,0.1688639999999998,0.08215599999999991,0.7489800000000002,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,27,0.38,0.15,0.11,0.36,0.18576748,-0.18576748,0.9292749544570852,0.010362421720780154,0.648909435202846,0.10912399999999987,0.6377500000000007,0.1699499999999995,0.08317599999999988,0.7468740000000006,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,28,0.38,0.15,0.11,0.36,0.18535295999999998,-0.18535295999999998,0.9323303118576629,0.009749392466566625,0.6520048391549865,0.1085779999999997,0.64201,0.16798599999999977,0.0814259999999999,0.7505879999999997,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,29,0.38,0.15,0.11,0.36,0.18625657999999998,-0.18625657999999998,0.9365916744127132,0.009813595313182303,0.6536600990841696,0.11046799999999972,0.6348679999999995,0.1705219999999995,0.08414199999999976,0.7453359999999992,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,30,0.38,0.15,0.11,0.36,0.18567508000000002,-0.18567508000000002,0.9414750709075635,0.009475425702097294,0.6571038073044914,0.10955999999999992,0.6402720000000016,0.16823599999999975,0.08193199999999976,0.7498320000000015,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,31,0.38,0.15,0.11,0.36,0.18570148,-0.18570148,0.944428925985734,0.009323446878130422,0.6579853618412649,0.10990399999999972,0.6409100000000008,0.16762199999999952,0.08156399999999984,0.7508140000000005,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,32,0.38,0.15,0.11,0.36,0.18631667999999998,-0.18631667999999998,0.948140509875654,0.009007989553521504,0.6575392956290028,0.11137199999999986,0.6362560000000005,0.1691879999999996,0.08318399999999988,0.7476280000000004,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,33,0.38,0.15,0.11,0.36,0.18526488,-0.18526488,0.9509030427007191,0.008824748615248526,0.655261788896477,0.10889999999999972,0.6440220000000016,0.1666739999999998,0.08040399999999978,0.7529220000000014,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,34,0.38,0.15,0.11,0.36,0.18541216,-0.18541216,0.9531923853842262,0.008499857238358246,0.6577511957394924,0.10920199999999979,0.6429280000000004,0.16702799999999968,0.08084199999999991,0.7521300000000002,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,35,0.38,0.15,0.11,0.36,0.18543046000000002,-0.18543046000000002,0.9547499035391189,0.008589603979783582,0.6604206631829171,0.10956599999999976,0.6437659999999998,0.16627999999999993,0.08038799999999992,0.7533319999999996,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,36,0.38,0.15,0.11,0.36,0.18578938,-0.18578938,0.956048355589052,0.00855032984079098,0.6597769706934447,0.11031199999999965,0.6406160000000006,0.16754999999999987,0.08152199999999986,0.7509280000000003,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,37,0.38,0.15,0.11,0.36,0.18582022,-0.18582022,0.9596744562399085,0.008619996068636598,0.6625481793254796,0.11058199999999975,0.6406020000000003,0.1674599999999992,0.08135599999999986,0.7511840000000001,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,38,0.38,0.15,0.11,0.36,0.18571601999999998,-0.18571601999999998,0.9598151486906128,0.008582843617948222,0.6608300269054082,0.1094979999999997,0.6396140000000008,0.16861999999999955,0.08226799999999984,0.7491120000000004,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,39,0.38,0.15,0.11,0.36,0.18558858,-0.18558858,0.9604527736965373,0.008362085111479556,0.6632676370048626,0.10945199999999967,0.641326000000001,0.16768799999999942,0.08153399999999993,0.7507780000000006,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,40,0.38,0.15,0.11,0.36,0.18601974,-0.18601974,0.9621808839719188,0.007943808522724255,0.6660111415004389,0.1109419999999998,0.6393100000000005,0.16777599999999926,0.08197199999999996,0.7502520000000003,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,41,0.38,0.15,0.11,0.36,0.18680934,-0.18680934,0.9627729919181041,0.007725601994899578,0.6652707971581151,0.11185599999999973,0.6316679999999999,0.17110999999999943,0.08536599999999979,0.7435239999999996,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,42,0.38,0.15,0.11,0.36,0.18568574000000002,-0.18568574000000002,0.9637242525377704,0.008227611501485974,0.6585570712220532,0.10840999999999969,0.6374260000000008,0.17049199999999973,0.08367199999999986,0.7458360000000005,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,43,0.38,0.15,0.11,0.36,0.18592332,-0.18592332,0.9655255202649073,0.007910075483923114,0.6648901213475538,0.10979399999999982,0.6378860000000005,0.1692659999999997,0.08305399999999975,0.7476800000000003,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,44,0.38,0.15,0.11,0.36,0.18590742,-0.18590742,0.9667732698872037,0.007654730022938353,0.6612432296159073,0.1091779999999998,0.6365840000000007,0.17037399999999928,0.08386399999999976,0.7457620000000005,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,1,45,0.38,0.15,0.11,0.36,0.18599018,-0.18599018,0.968667396846448,0.007642839344687634,0.6617980858818379,0.10973799999999977,0.6367479999999993,0.16994999999999955,0.08356399999999975,0.7464859999999991,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
