target_name,X_L,X_F,X_B,X_C,observed_p_F_given_L,observed_p_L_given_F,observed_p_L_given_B,expected_p_F_given_L,expected_p_L_given_F,expected_p_L_given_B,observed_f_L,observed_f_F,observed_f_B,observed_f_C,expected_f_L,expected_f_F,expected_f_B,expected_f_C,observed_CM,expected_CM,mean_strategy_absolute_error,mean_frequency_absolute_error,cm_absolute_error,late_average_used,late_average_start_generation,late_average_end_generation
Figure 1A,0.18,0.04,0.53,0.25,0.9703642681925981,0.06540087886876952,0.9879173569527815,1.0,0.01,1.0,0.19531,0.6340700000000001,0.14830999999999991,0.02230999999999997,0.16,0.61,0.15,0.08,0.8293800000000001,0.77,0.0323730845744633,0.029690000000000067,0.0593800000000001,False,,
Figure 1B,0.45,0.22,0.24,0.09,0.9529312464572429,0.04004390430747542,0.002560871669011103,1.0,0.0,0.0,0.002190000000000001,0.0032000000000000023,0.7160299999999993,0.2785799999999999,0.0,0.0,0.49,0.51,0.005390000000000003,0.0,0.029891176506414537,0.11570999999999985,0.005390000000000003,False,,
Figure 2A,0.38,0.15,0.11,0.36,0.9066992819677698,0.034148706886621555,0.00517754555864824,1.0,0.0,0.27,0.004615294117647061,0.009561764705882356,0.7102799999999996,0.27554294117647055,0.07,0.5,0.26,0.17,0.014177058823529418,0.57,0.1307572931200678,0.2779114705882352,0.5558229411764706,True,340,499
Figure 2B,0.25,0.19,0.03,0.53,0.49046661414612935,0.034718117092364144,0.006345675251930315,0.94,0.01,0.1,0.014399411764705867,0.054269411764705844,0.677501176470588,0.25383000000000006,0.04,0.28,0.37,0.31,0.0686688235294117,0.31,0.18930194256476815,0.15375058823529408,0.2413311764705883,True,340,499
