target_name,generation,X_L,X_F,X_B,X_C,mean_risk,mean_fitness,p_F_given_L,p_L_given_F,p_L_given_B,f_L,f_F,f_B,f_C,CM,expected_p_F_given_L,expected_p_L_given_F,expected_p_L_given_B,expected_f_L,expected_f_F,expected_f_B,expected_f_C,expected_CM
Figure 2A,0,0.38,0.15,0.11,0.36,0.2615595,-0.2615595,0.4760032486800466,0.4771323432154391,0.50065956258862,0.4889199999999998,0.48333999999999977,0.026869999999999932,0.0008700000000000005,0.9722599999999996,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,10,0.38,0.15,0.11,0.36,0.171692,-0.171692,0.6004362325717332,0.08193355931077964,0.29984392864623216,0.11412999999999993,0.6821100000000001,0.18939000000000014,0.014369999999999983,0.7962400000000001,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,20,0.38,0.15,0.11,0.36,0.1721021,-0.1721021,0.7686057089578975,0.08588169801773461,0.08605081288227347,0.04935999999999997,0.28081,0.5196599999999998,0.15017,0.33016999999999996,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,30,0.38,0.15,0.11,0.36,0.1783813,-0.1783813,0.7996648968593654,0.09054371087481615,0.027171503060601378,0.01836999999999997,0.08190999999999997,0.6591399999999993,0.24058000000000007,0.10027999999999994,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,40,0.38,0.15,0.11,0.36,0.1797868,-0.1797868,0.7923978332374756,0.08246359101953518,0.007422119921779442,0.010120000000000007,0.03710999999999997,0.6904899999999996,0.26227999999999996,0.04722999999999998,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,50,0.38,0.15,0.11,0.36,0.1800482,-0.1800482,0.794917830346311,0.0865565380624795,0.0046589537918410705,0.007000000000000004,0.024579999999999966,0.6997199999999998,0.26870000000000005,0.03157999999999997,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,60,0.38,0.15,0.11,0.36,0.1798573,-0.1798573,0.7965434220195998,0.07912669210869022,0.005175936543216736,0.007500000000000004,0.02886999999999995,0.6969199999999997,0.26670999999999995,0.03636999999999996,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,70,0.38,0.15,0.11,0.36,0.18000329999999998,-0.18000329999999998,0.8046990733633608,0.0738807158304493,0.004545269331661517,0.007010000000000005,0.025139999999999944,0.6994299999999992,0.2684200000000001,0.03214999999999995,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,80,0.38,0.15,0.11,0.36,0.1798958,-0.1798958,0.8004518306004421,0.07429471374660425,0.005078125658535545,0.0077200000000000055,0.028659999999999936,0.6969599999999998,0.26666000000000006,0.03637999999999994,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,90,0.38,0.15,0.11,0.36,0.1803361,-0.1803361,0.80076255342787,0.060437464553019196,0.006088940189118695,0.006890000000000004,0.019519999999999968,0.7028099999999992,0.2707800000000001,0.02640999999999997,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,100,0.38,0.15,0.11,0.36,0.1803414,-0.1803414,0.7905300594710372,0.05593882724248464,0.005014753576823501,0.006880000000000004,0.019219999999999963,0.7030399999999993,0.27086000000000005,0.026099999999999967,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,110,0.38,0.15,0.11,0.36,0.1803243,-0.1803243,0.7942805509960453,0.05350947647191001,0.003669900796337619,0.0044700000000000035,0.01205999999999999,0.7089299999999993,0.27453999999999995,0.016529999999999996,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,120,0.38,0.15,0.11,0.36,0.1802449,-0.1802449,0.7895857307663812,0.05261374775145886,0.004378771287838142,0.005690000000000004,0.017089999999999963,0.7051199999999995,0.2720999999999999,0.022779999999999967,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,130,0.38,0.15,0.11,0.36,0.1802905,-0.1802905,0.7985207789608981,0.0528726570891482,0.004846757634432641,0.005810000000000003,0.016919999999999963,0.705089999999999,0.2721800000000002,0.022729999999999966,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,140,0.38,0.15,0.11,0.36,0.1802113,-0.1802113,0.8195646010576675,0.05495566623306803,0.0038875691671375174,0.0049800000000000035,0.015479999999999973,0.7065499999999995,0.27298999999999995,0.020459999999999978,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,150,0.38,0.15,0.11,0.36,0.1804812,-0.1804812,0.8272147610856073,0.053642446290241466,0.004627373724802528,0.004610000000000002,0.010100000000000005,0.7099599999999997,0.27532999999999985,0.014710000000000008,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,160,0.38,0.15,0.11,0.36,0.18031729999999999,-0.18031729999999999,0.8364822857333141,0.04597876638984814,0.005927505091129349,0.0066600000000000045,0.019039999999999967,0.7032699999999994,0.27102999999999994,0.025699999999999973,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,170,0.38,0.15,0.11,0.36,0.18046479999999998,-0.18046479999999998,0.8335333419004103,0.044338058410811,0.004724513428108332,0.004400000000000002,0.009670000000000007,0.710369999999999,0.2755599999999998,0.01407000000000001,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,180,0.38,0.15,0.11,0.36,0.1805412,-0.1805412,0.8455633202272798,0.039842222148251435,0.005498791720189938,0.004700000000000003,0.009430000000000006,0.7102899999999995,0.27558,0.014130000000000009,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,190,0.38,0.15,0.11,0.36,0.1803902,-0.1803902,0.8381783461118004,0.03667323047545209,0.005120595134631288,0.005000000000000004,0.012879999999999992,0.7080199999999992,0.27409999999999995,0.017879999999999997,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,200,0.38,0.15,0.11,0.36,0.18034679999999997,-0.18034679999999997,0.8406991016782337,0.03878673717329299,0.005066593142095669,0.0054700000000000035,0.01505999999999998,0.7063999999999996,0.2730699999999999,0.020529999999999982,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,210,0.38,0.15,0.11,0.36,0.1803736,-0.1803736,0.8498640350775938,0.041036911566266834,0.00487471252562745,0.004550000000000002,0.011189999999999999,0.7094699999999993,0.2747900000000002,0.01574,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,220,0.38,0.15,0.11,0.36,0.1803857,-0.1803857,0.8488513024950968,0.045843044082285705,0.0048881849369050625,0.005010000000000002,0.012949999999999986,0.7079799999999992,0.27406,0.01795999999999999,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,230,0.38,0.15,0.11,0.36,0.18043879999999998,-0.18043879999999998,0.8632651087276296,0.04191543714334503,0.00512018566869887,0.004920000000000003,0.011509999999999998,0.7089699999999998,0.27460000000000007,0.01643,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,240,0.38,0.15,0.11,0.36,0.180222,-0.180222,0.8904444690149123,0.04418388155010881,0.0063591380262836925,0.006100000000000005,0.019249999999999955,0.7034299999999996,0.2712200000000002,0.02534999999999996,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,250,0.38,0.15,0.11,0.36,0.1804959,-0.1804959,0.883048424550487,0.03781443772918913,0.006266657291964701,0.005630000000000004,0.013269999999999987,0.7073199999999996,0.27378000000000013,0.01889999999999999,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
