target_name,generation,X_L,X_F,X_B,X_C,mean_risk,mean_fitness,p_F_given_L,p_L_given_F,p_L_given_B,f_L,f_F,f_B,f_C,CM,expected_p_F_given_L,expected_p_L_given_F,expected_p_L_given_B,expected_f_L,expected_f_F,expected_f_B,expected_f_C,expected_CM
Figure 1B,200,0.45,0.22,0.24,0.09,0.1987679,-0.1987679,0.8523869234285741,0.03399898217371844,0.00266239067763637,0.0026300000000000013,0.004970000000000004,0.7144999999999999,0.27790000000000004,0.007600000000000005,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,210,0.45,0.22,0.24,0.09,0.19886209999999999,-0.19886209999999999,0.8609167829169828,0.03085767513618232,0.0022759555293317803,0.002600000000000001,0.006920000000000005,0.7135099999999994,0.27696999999999994,0.009520000000000006,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,220,0.45,0.22,0.24,0.09,0.1986681,-0.1986681,0.8649542379679447,0.029640949827376764,0.0018520374500904516,0.0020900000000000007,0.005040000000000004,0.7150699999999997,0.2778000000000001,0.007130000000000004,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,230,0.45,0.22,0.24,0.09,0.1986412,-0.1986412,0.8830795744065446,0.026907614803329663,0.0017932329374798495,0.0019900000000000013,0.0049600000000000035,0.7151999999999998,0.27785,0.006950000000000005,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,240,0.45,0.22,0.24,0.09,0.19847889999999999,-0.19847889999999999,0.8874165110172679,0.030108213935258046,0.0013706150944456839,0.0014900000000000009,0.0037000000000000028,0.7164099999999991,0.2783999999999998,0.005190000000000004,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,250,0.45,0.22,0.24,0.09,0.1989096,-0.1989096,0.9020435043706617,0.031093025095614134,0.0029405033337683317,0.0030500000000000015,0.005670000000000004,0.7138299999999994,0.2774499999999999,0.008720000000000006,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,260,0.45,0.22,0.24,0.09,0.1986546,-0.1986546,0.8912613809978492,0.03039012005141814,0.002647355631393777,0.0023100000000000013,0.003750000000000003,0.7155699999999995,0.27836999999999995,0.006060000000000005,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,270,0.45,0.22,0.24,0.09,0.1986913,-0.1986913,0.8875493238950881,0.03073136968261086,0.0025443522564437145,0.002370000000000001,0.004270000000000003,0.7152199999999997,0.27814000000000005,0.0066400000000000035,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,280,0.45,0.22,0.24,0.09,0.1986566,-0.1986566,0.8977543755132514,0.033021772410341994,0.002305144475049618,0.0021600000000000013,0.004550000000000003,0.7152499999999994,0.2780399999999998,0.006710000000000004,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,290,0.45,0.22,0.24,0.09,0.1986704,-0.1986704,0.904540076898904,0.033328273435002734,0.0019561911465706024,0.0021900000000000014,0.004700000000000004,0.7151399999999994,0.2779699999999999,0.0068900000000000055,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
